Id_Available,Id_Cryptocurrency,Id_Platform,Available_suppy
513,1368,0,"129,085,000"
514,1369,0,"1,969,847"
515,1370,3,"550,000,000"
516,1371,0,"30,083,791"
517,1372,0,"89,328,800"
518,1373,0,"27,996,598"
519,1374,2,"100,000,000"
520,1375,0,"579,834"
521,1376,0,0
522,1377,0,"26,942,938"
523,1378,0,0
524,1379,0,0
525,1380,0,0
526,1381,0,0
527,1382,0,0
528,1383,0,"21,246,106"
529,1384,0,0
530,1385,0,0
531,1386,0,"30,000,000"
532,1387,0,0
533,1388,0,0
