Id_Contact,Contact,Position
134,Mr Greg Rubin,CEO
135,Mr Sean Clark,Founder and General Partner
136,Mr Shamsher Khan Beng,Founder
137,Mr Rick Heitzmann,Founder
138,Mr Hitoshi Kano,President and CEO
139,Mr Dmitry Smirnov,General Partner
140,Mr Dave Balter,Co-Founder
141,Mr Ashu Garg,General Partner
142,Mr Brian Singerman,Partner
143,Mr Tim Lewkow,Managing Member
144,Mr Bryan Reyhani,CEO and Co-Founder
145,Mr Anthony Pompliano,CEO
146,Mr Jackson Finio,Managing Member
147,Mr Alex Mittal,Co-Founder
148,Ms Jalak Jobanputra,Founding Partner
149,Mr Daniel Masters,Chief Investment Officer
150,Mr Dave Misra,Managing Partner
151,Mr Michael Novagratz,CEO
152,Mr Adam Valkin,Managing Director
153,Mr Zach Hamilton,Managing Partner
154,Mr Kevin White,Managing Partner
155,Mr Pavel Machalek,Managing Member
156,Mr Ari Lewis,Co-Founder
157,Mr Bumi Akinyemiju,Founding Partner
158,Mr Greg Kidd,Co-Founder
159,Mr Simon Seojoon Kim,CEO
160,Mr Harpreet Singh,CEO
161,Mr Peter Stilli,CEO
162,Mr Christopher Hehmeyer,CEO
163,Mr Nic Howery,Founder and CEO
164,Mr Stelian Balta,Founder
165,Mr Xiaolai Li,Partner
166,Mr Ronald-Peter Stoferle,Partner
167,Mr Eric Schmidt,Founding Partner
168,Mr Colin Thompson,Co-Founder
169,Mr Marcus New,CEO
170,Mr Brandon Buchanan,Member
171,Mr Jules Maltz,General Partner
172,Mr Peitao Chen,CEO
173,Mr David Rosskamp,Managing Partner
174,Mr Jehan Chu,Partner
175,Mr Ardie Daie,Operating Partner
176,Mr Nicolas Dechosal,Senior Portfolio Manager
177,Ms Fleur  Pellerin,Managing Partner
178,Mr Ila Tzorya,Founder
179,Mr George Mcdonaugh,CEO
180,Mr Nathan Starrett,Managing Partner
181,Mr David Drake,Founder
182,Mr Nikunj Jain,Managing Partner
183,Mr Pamir Gelenbe,Managing Partner
184,Ms Dorothy Jean Chang,Founding Partner
185,Mr James Mi,Partner
186,Ms Meredith Kendall,Marketing Partner
187,Mr Marco Streng,Founder
188,Mr Wilson Tsai,Partner
189,Mr Han Yoon,CEO
190,Mr Allan Cassis,Managing Member
191,Mr Egor Sidelska,Director
192,Mr Jong Hyeop Kim,Managing Member
