Firm_Name,Address,Id_City
Nash Ventures,"269, 2nd Floor, Jwala Mills Rd",86
Neufund,Cuvrystr. 4,45
Neural Capital,"665 3rd Street, Suite 150",4
Next Generation Fund,2nd Terrace West,97
Node Capital,0,30
Numerai LLC,"101 California Street, Suite 3125",4
OC Horizon FinTech,4 Shenton Way,21
Outlier Ventures,3 Churchgates,98
Palmy Fund,"4675 MacArthur Court, Suite 1470",70
Pantera Capital,"3000 Sand Hill Road, Suite 1-235",18
Plutus 21,"3100 Carlisle Street, Unite #12114",99
Point Nine Capital,Chausseestraﬂe 19,45
Pollinate Capital,"3333 Piedmont Road NE, Suite 2050",100
Polychain Capital,2771 23rd Street,4
Polymbios Investment Management,"300 Park Avenue, 12th Floor",5
Prasos OY,Lutakonaukio 7,101
Prime Factor Capital,0,14
Private Key Capital,"135 East 57th Street, 6th Floor",5
Protocol Capital Management,"665 3rd Street, Suite 150",4
Pure Crypto,"460 North Main Street, Suite 304",102
Quadarch,0,103
Reality Shares,"402 W. Broadway, Suite 2800",38
Renovatio PR,"Piloto 151 Santurce Suites, 4th Floor Suite 11",104
Rex Capital Management,44 Post Road West,105
Rhapsody Ventures,"229 E. Java Drive, 61615",106
Ribbit Capital,364 University Avenue,1
Right Side Capital Management,"649 Mission Street, 5th Floor",4
Rising Tide Fund Managers ,"101 Mission Street, Suite 380",4
Rivemont,"160 boul. de líHÙpital, Suite 202",107
RRE Ventures,"130 E 59th Street, #17",5
Saffron Labs,72 Cannon Street,14
SALT Blockchain Asset Partners,"1875 Lawrence Street, Suite 1100",50
Satoshi Fund,"23 East 22nd Street, Unit 27A",5
SBI Investment,19th Floor Izumi Garden Tower,74
Scalar Capital,"580 California Street, Suite 516",4
Scale-Up Capital,2916 Ramona Street,1
Science Inc.,"1447 2nd Street, Suite 200",73
Sequoia Capital,"2800 Sand Hill Road, Suite 101",18
Serrada Capital,"300 Carnegie Center, Suite 150",108
Sharpe Capital,"14/F Manning House, 34-48 Queens Road Central",9
Shuttle Fund,"545 Fifth Avenue, Suite 831",5
Silver 8 Capital,2 High Ridge Park,39
Singulariteam ,"Berkovitz 4, 18 Floor",109
SolidX,"200 Park Avenue, 17th Floor",5
Sora Ventures,0,9
SparkChain Capital,3587 Lupin Avenue,1
SPiCE Venture Capital,55 Bustanai Street,110
Starchain Capital,11975 Crest Place,68
